Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
"International Coal Group, Inc.",ICO,"NEW YORK STOCK EXCHANGE, INC.",154397468.4,11.00,1172665989,0.025807857,,0.015681362,0.021046911,0.116820137,-0.136363584
International Flavors & Fragrances,IFF,"NEW YORK STOCK EXCHANGE, INC.",910488195.2,42.84,4037190320,0.076240257,0.047619048,0.078317735,0.059999736,0.500621271,-0.202064092
International Game Tech.,IGT,"NEW YORK STOCK EXCHANGE, INC.",2078826847,34.38,11908105401,0.048903701,0.034322284,0.063388428,0.032365099,0.194863135,-0.088790119
International Multifoods Corp.,IMC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
International Paper Co.,IP,"NEW YORK STOCK EXCHANGE, INC.",8253983372,42.00,20436674034,0.08943048,0.018333335,0.142852694,0.026711093,1.250059378,-0.175084654
International Rectifier,IRF,"NEW YORK STOCK EXCHANGE, INC.",1312285058,44.57,2975849938,0.058770705,0.035674216,0.053422685,0.02737055,0.36198073,-0.284272084
"International Securities Exchange Holdings, Inc.",ISE,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.058461391
International Shipholding Corporation,ISH,"NEW YORK STOCK EXCHANGE, INC.",135453727.7,14.90,90635016,0.284077512,0.072483202,0.387567757,0.263414724,2.881055619,0.043624212
International Shipholding Corporation Pref Share,ISHPR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"International Steel Group, Inc.",ISG,"NEW YORK STOCK EXCHANGE, INC.",2004100030,40.56,4057133733,0.154604477,0.087771191,,0.107894279,1.924342548,-0.084072976
Internet Content & Information,IG001DA079,"NEW YORK STOCK EXCHANGE, INC.",26742738678,903.60,1.18192E+11,,,,,,0.517519571
InterOil Corporation,IOC,"NEW YORK STOCK EXCHANGE, INC.",150305314.2,37.84,1071283850,-0.027211336,-0.00924947,-0.008020237,-0.096757745,0.069928212,-0.291754693
"Interpool, Inc.",IPX,"NEW YORK STOCK EXCHANGE, INC.",394185033.7,24.00,657226080,0.232147023,0.084166653,0.358982772,-0.135467727,0.514083841,-0.155470519
Interpublic Group of Cos Inc,IPG,"NEW YORK STOCK EXCHANGE, INC.",1344620100,13.40,5666722020,0.096358794,-0.13134329,-0.036920464,0.062600278,1.110793918,-0.279850786
"Interstate Hotels & Resorts, Inc.",IHR,"NEW YORK STOCK EXCHANGE, INC.",118126012.5,5.36,164323642,-0.081830449,-0.104477618,0.009462985,-0.101543368,6.383128116,-0.184701515
Interstate Power and Light Company Pref Share,IPLPRB,"NEW YORK STOCK EXCHANGE, INC.",,34.00,,,,,,,0.053090074
